,class id,filepaths,labels,data set,scientific name,histogram_index
0,40.0,train/ASIAN GREEN BEE EATER/162.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,0
1,40.0,train/ASIAN GREEN BEE EATER/136.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,1
2,40.0,train/ASIAN GREEN BEE EATER/153.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,2
3,40.0,train/ASIAN GREEN BEE EATER/102.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,3
4,40.0,train/ASIAN GREEN BEE EATER/145.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,4
5,40.0,train/ASIAN GREEN BEE EATER/101.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,5
6,40.0,train/ASIAN GREEN BEE EATER/105.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,6
7,40.0,train/ASIAN GREEN BEE EATER/166.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,7
8,40.0,train/ASIAN GREEN BEE EATER/106.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,8
9,40.0,train/ASIAN GREEN BEE EATER/103.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,9
10,40.0,train/ASIAN GREEN BEE EATER/155.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,10
11,40.0,train/ASIAN GREEN BEE EATER/110.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,11
12,40.0,train/ASIAN GREEN BEE EATER/121.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,12
13,40.0,train/ASIAN GREEN BEE EATER/118.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,13
14,40.0,train/ASIAN GREEN BEE EATER/142.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,14
15,40.0,train/ASIAN GREEN BEE EATER/11.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,15
16,40.0,train/ASIAN GREEN BEE EATER/111.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,16
17,40.0,train/ASIAN GREEN BEE EATER/112.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,17
18,40.0,train/ASIAN GREEN BEE EATER/109.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,18
19,40.0,train/ASIAN GREEN BEE EATER/113.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,19
20,40.0,train/ASIAN GREEN BEE EATER/115.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,20
21,40.0,train/ASIAN GREEN BEE EATER/114.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,21
22,40.0,train/ASIAN GREEN BEE EATER/119.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,22
23,40.0,train/ASIAN GREEN BEE EATER/12.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,23
24,40.0,train/ASIAN GREEN BEE EATER/108.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,24
25,40.0,train/ASIAN GREEN BEE EATER/128.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,25
26,40.0,train/ASIAN GREEN BEE EATER/157.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,26
27,40.0,train/ASIAN GREEN BEE EATER/129.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,27
28,40.0,train/ASIAN GREEN BEE EATER/116.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,28
29,40.0,train/ASIAN GREEN BEE EATER/13.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,29
30,40.0,train/ASIAN GREEN BEE EATER/130.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,30
31,40.0,train/ASIAN GREEN BEE EATER/131.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,31
32,40.0,train/ASIAN GREEN BEE EATER/132.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,32
33,40.0,train/ASIAN GREEN BEE EATER/133.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,33
34,40.0,train/ASIAN GREEN BEE EATER/120.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,34
35,40.0,train/ASIAN GREEN BEE EATER/1.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,35
36,40.0,train/ASIAN GREEN BEE EATER/100.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,36
37,40.0,train/ASIAN GREEN BEE EATER/122.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,37
38,40.0,train/ASIAN GREEN BEE EATER/123.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,38
39,40.0,train/ASIAN GREEN BEE EATER/134.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,39
40,40.0,train/ASIAN GREEN BEE EATER/135.jpg,ASIAN GREEN BEE EATER,train,MEROPS ORIENTALIS,40
